NNID,1,2,3,4,5,6,7,8
NET NAME,Sentiment Analysis,AlexNet,Machine Translation,MobileNet,AlexNet,AlexNet,AlexNet,Machine Translation
ISOLATED,4489981,6473754,9911366,25908758,6473754,6473754,6473754,9911366
PRIORITY,2,0,2,0,0,2,2,2
DISPATCHED,0,635132,1160096,3803229,105163,474288,3768681,1334398
ESTIMATED,1,1114704,1,5045956,1114704,1114704,1114704,1
RUNNED,4489983,6473034,9911160,25908553,6473547,6473546,6473033,9911161
WAITED,0,16801945,22750015,46402236,4384821,10489243,39963751,32486873
ELAPSED,4489983,23274979,32661175,72310789,10858368,16962789,46436784,42398034
SWITCHED,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True
FCFS,DYNAMIC
ANTT,3.303740156529272,STP,3.290922691310553,FAIRNESS,0.02598124222670832
