NNID,1,2,3,4,5,6,7,8
NET NAME,GoogLeNet,MobileNet,AlexNet,VGG16,Machine Translation,GoogLeNet,Sentiment Analysis,Automatic Speech Recognition
ISOLATED,11873594,25908758,6473754,77632498,9911366,11873594,4489981,13464404
PRIORITY,1,1,2,2,2,2,1,0
DISPATCHED,0,2977999,3156512,388172,471959,1521614,670674,2270725
ESTIMATED,1055492,5045956,1114704,14014972,1,1055492,1,1
RUNNED,11873217,25908554,6473544,77632459,9911367,11873387,4489776,13464198
WAITED,14484930,41727080,35075023,70141674,1,24836534,9712653,145891580
ELAPSED,26358147,67635634,41548567,147774133,9911368,36709921,14202429,159355778
SWITCHED,2,1,1,2,1,1,1,1
SLA,True,True,True,True,True,True,True,False
PREMA,DYNAMIC
ANTT,4.030267888513651,STP,3.238770630421213,FAIRNESS,4.688472255119134e-10
